DateTime,AddedIPs,RemovedIPs
1584948022,114,106
1584955943,119,98
1584963149,116,107
1584970583,127,110
1584977785,112,123
1584985703,119,77
1584993621,86,126
1585000830,108,119
1585008030,104,133
1585015228,90,249
1585022430,277,98
1585029868,111,150
1585037067,125,83
1585044511,100,114
1585051702,124,104
1585058909,107,102
1585066116,94,92
1585074025,113,106
1585081217,139,133
1585088418,120,114
1585095858,93,120
1585103296,135,101
1585110747,110,138
1585118660,108,99
1585125858,96,89
1585133062,114,73
1585135229,53,128
1585135942,137,88
1585143385,124,80
1585150590,85,133
1585158513,146,96
1585165705,101,98
1585172901,82,138
1585180162,85,138
1585188029,103,103
1585195227,112,96
1585202427,97,113
1585209640,113,118
1585217548,119,88
1585224744,101,93
1585231949,94,89
1585239380,106,118
1585246823,110,166
1585254260,186,96
1585261458,84,124
1585268658,107,130
1585275857,98,117
1585283059,141,115
1585290979,99,138
1585298424,125,109
1585305850,120,109
1585313059,130,118
1585320968,116,119
1585327468,110,217
1585335378,218,107
1585342578,106,124
1585349804,117,142
1585357224,120,136
1585364423,156,121
1585371627,114,117
1585379553,117,73
1585386743,80,66
1585393944,72,80
1585401379,116,90
1585408823,91,123
1585415547,135,91
1585423457,82,116
1585430660,120,94
1585437860,81,129
1585445062,105,129
1585452260,124,125
1585459459,109,114
1585466896,94,81
1585474353,117,83
1585482259,95,99
1585489463,102,106
1585496671,125,144
1585503862,153,99
1585511061,97,103
1585518370,96,132
1585525459,95,97
1585532663,91,101
1585540100,115,112
1585547296,96,107
1585554742,116,73
1585561939,83,192
1585569382,209,91
1585576580,112,127
1585583781,116,173
1585591219,184,89
1585598673,105,110
1585606112,102,130
1585613780,87,145
1585620747,146,106
1585627939,108,127
1585635138,86,99
1585642340,88,101
1585649781,130,88
1585657216,101,92
1585657949,33,33
1585663709,117,98
1585671618,89,100
1585678821,96,94
1585686018,92,102
1585693944,89,132
1585701149,101,114
1585704017,57,77
1585711459,127,133
1585718664,103,109
1585722260,60,96
1585723225,139,75
1585730418,79,89
1585738105,106,98
1585744816,114,106
1585752264,131,92
1585759701,118,101
1585766900,99,84
1585774098,76,99
1585781301,72,116
1585788502,84,93
1585796423,131,103
1585803629,92,78
1585810855,74,98
1585818025,106,93
1585825231,100,84
1585832427,90,119
1585840330,121,113
1585847527,120,101
1585854738,98,109
1585861938,99,120
1585869140,81,123
1585877058,98,118
1585883775,110,120
1585891217,100,95
1585898422,101,84
1585906348,111,78
1585913545,91,121
1585920743,122,92
1585927944,113,111
1585935148,94,115
1585943064,105,88
1585950262,82,92
1585957465,73,101
1585965376,98,101
1585972578,118,101
1585979779,83,78
1585986982,100,82
1585994901,106,83
1586002110,101,117
1586009307,109,113
1586016502,120,121
1586023709,113,83
1586029464,57,61
1586033062,94,97
1586041011,93,108
1586048177,74,111
1586055378,126,115
1586062613,99,128
1586069779,112,92
1586076978,120,119
1586084188,123,90
1586091379,104,89
1586098836,104,104
1586106511,104,177
1586113701,198,91
1586120909,95,123
1586128110,99,104
1586134819,71,88
1586142018,101,109
1586149713,86,113
1586156423,101,94
1586163666,101,111
1586170834,108,99
1586178749,117,107
1586185944,106,131
1586193147,143,95
1586200350,90,116
1586207551,103,160
1586214733,130,105
1586221933,113,108
1586229373,111,127
1586236810,124,96
1586244012,79,88
1586251209,93,78
1586257949,98,106
1586265152,111,104
1586273060,110,98
1586280261,107,78
1586287460,104,111
1586294663,92,98
1586301863,85,148
1586309064,136,110
1586316261,120,139
1586323464,121,121
1586330666,98,92
1586337863,99,99
1586345061,111,105
1586352270,133,99
1586360182,126,116
1586367382,114,92
1586374584,88,101
1586381781,72,130
1586388979,93,128
1586396420,140,112
1586403613,125,154
1586410810,112,94
1586417539,126,99
1586425449,112,116
1586432661,128,100
1586439868,111,109
1586447061,117,92
1586454264,111,112
1586461700,97,98
1586468901,72,133
1586476102,89,112
1586483304,114,128
1586490502,147,148
1586497219,126,172
1586504419,171,71
1586511861,88,112
1586519300,110,82
1586526505,124,84
1586533701,96,109
1586540901,90,99
1586548341,104,102
1586555292,113,126
1586563211,90,89
1586570415,94,140
1586577137,130,129
1586584570,101,93
1586591768,111,83
1586598973,93,96
1586606661,106,81
1586614102,107,119
1586621307,134,120
1586628026,118,97
1586635943,52,47
1586636662,106,117
1586643857,91,110
1586651060,78,115
1586658259,117,128
1586666178,103,125
1586673385,103,102
1586675541,92,62
1586683461,115,101
1586690441,108,107
1586697622,112,88
1586704822,111,125
1586712496,123,105
1586719695,118,103
1586727150,108,138
1586735058,90,126
1586739411,56,60
1586740112,106,90
1586747540,148,139
1586751146,95,91
1586759057,106,101
1586766496,128,88
1586773695,90,138
1586781388,133,154
1586784260,124,52
1586791707,105,96
1586799388,99,98
1586806344,97,124
1586813540,95,146
1586820745,110,126
1586826500,113,80
1586828657,52,75
1586835857,136,154
1586843059,125,141
1586850257,129,94
1586857462,100,115
1586864659,137,103
1586871865,114,108
1586879781,97,101
1586886744,85,173
1586893937,177,87
1586901376,99,101
1586908815,101,125
1586916029,108,128
1586922730,130,117
1586930182,101,124
1586937624,131,92
1586945060,102,93
1586951778,71,78
1586959710,94,96
1586966420,93,121
1586973639,133,73
1586980820,97,109
1586988023,83,133
1586995956,106,117
1587003138,111,106
1587010348,99,100
1587017542,108,155
1587024979,126,118
1587031947,152,92
1587038912,88,98
1587046115,111,99
1587053315,123,118
1587060738,125,94
1587067939,97,111
1587075145,98,147
1587082588,123,142
1587090016,141,126
1587097222,110,106
1587104416,94,97
1587111620,114,72
1587119540,82,134
1587126742,141,74
1587133939,110,150
1587140659,145,97
1587148577,124,89
1587155300,85,134
1587162983,107,83
1587170182,98,121
1587177381,94,160
1587184584,135,103
1587191779,118,138
1587198979,119,111
1587206897,151,94
1587214098,98,105
1587221300,128,87
1587228497,80,102
1587235695,103,71
1587242896,83,87
1587250101,86,113
1587257297,89,121
1587264498,127,140
1587271698,121,114
1587279625,107,80
1587286816,120,121
1587294019,132,83
1587301227,93,115
1587307941,119,89
1587315375,92,59
1587322577,70,105
1587329817,91,102
1587337219,93,126
1587344422,111,149
1587351621,163,111
1587358827,88,122
1587366028,126,95
1587373955,97,120
1587381083,115,87
1587388105,109,80
1587395557,105,145
1587402758,182,97
1587409939,107,122
1587417151,117,112
1587424348,83,147
1587431065,87,175
1587438751,175,135
1587445939,121,75
1587453143,85,111
1587460334,113,104
1587467548,105,134
1587474738,146,92
1587481942,95,106
1587489155,95,124
1587496602,135,120
1587503553,105,108
1587510745,83,183
1587513626,123,59
1587517460,64,75
1587518176,55,85
1587518907,102,64
1587526343,107,148
1587533540,116,109
1587541215,108,95
1587548410,103,105
1587555146,120,103
1587562578,109,92
1587569781,126,85
1587570497,18,32
1587577699,110,139
1587584897,128,98
1587592098,85,115
1587599294,97,141
1587607225,129,117
1587613714,94,105
1587621418,88,133
1587629302,146,265
1587636511,129,127
1587643943,112,104
1587650912,127,112
1587658580,128,83
1587665782,128,129
1587672759,103,151
1587679706,113,117
1587687615,95,104
1587694816,110,134
1587702014,120,143
1587709216,137,112
1587716660,131,88
1587724346,126,101
1587731061,105,108
1587738984,108,98
1587745694,115,105
1587753146,92,109
1587760833,96,120
1587768255,91,116
1587775461,123,148
1587782662,147,110
1587790573,98,128
1587797774,134,98
1587804978,105,109
1587812910,125,86
1587819620,112,136
1587826829,141,85
1587834027,102,94
1587841939,83,86
1587849138,76,129
1587856337,100,118
1587863539,103,138
1587870740,144,138
1587878656,99,104
1587885858,87,83
1587893056,140,101
1587900261,86,84
1587908474,87,106
1587915379,121,78
1587922586,96,101
1587930489,109,79
1587937243,84,145
1587945135,102,137
1587952578,110,128
1587960027,135,100
1587967717,96,329
1587974659,245,90
